0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
80,0,0,28,7,2,31,6,29,1,7,7,0,0,0,0,40,4,0,0
0,0,0,116,0,0,0,0,0,2,1,0,0,60,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
4,0,0,5,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,2,0,0,1,1,0,2,0,0,1,0,0,0,0,2,0,0
4,0,0,5,0,0,1,1,0,4,2,0,1,0,0,0,3,0,0,0
2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
39,0,0,51,10,0,10,6,0,0,0,3,0,20,0,0,13,3,0,0
1,0,0,32,8,0,6,1,6,4,0,0,0,0,1,0,9,2,0,0
11,0,0,5,3,0,6,2,0,1,7,5,0,0,0,0,6,0,0,4
35,0,0,4,7,0,13,1,3,1,1,6,0,0,0,0,10,5,0,0
29,0,1,19,7,0,6,4,0,0,3,10,0,30,0,0,6,3,0,0
209,0,0,65,64,3,50,11,11,15,35,17,0,50,0,0,66,4,0,0
1,0,0,8,0,0,3,2,0,2,1,0,0,0,0,0,3,0,0,0
8,0,0,12,6,0,6,1,0,0,2,1,0,1,0,0,3,0,0,0
2,0,0,2,2,0,0,3,0,2,1,0,0,0,0,0,3,1,0,0
9,0,0,14,1,0,6,1,9,2,7,0,0,0,0,0,1,2,0,0
16,0,0,5,3,1,5,1,4,1,8,1,0,0,0,0,4,1,0,0
5,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,1,1,0,0
3,0,0,7,1,0,3,3,1,0,1,0,0,0,0,0,2,1,0,0
3,0,0,8,1,2,0,2,0,3,0,1,0,0,0,0,1,2,0,0
3,0,0,6,0,0,1,0,1,5,1,1,0,0,0,0,0,0,0,0
0,0,0,5,1,0,2,0,1,1,0,0,0,0,0,0,4,1,0,0
7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0
2,0,0,5,2,0,0,3,0,0,1,0,0,1,0,0,4,0,0,0
3,0,1,6,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0
11,0,0,8,5,0,3,1,20,3,6,0,0,0,0,0,4,4,0,0
4,0,0,10,4,0,3,0,0,0,5,0,0,0,0,2,3,0,0,3
11,0,0,79,6,1,1,2,4,2,4,2,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
4,0,0,21,1,0,0,2,3,6,1,2,0,0,0,0,7,0,0,0
4,0,0,0,0,0,2,0,3,1,1,1,0,0,0,0,3,0,0,0
2,0,0,0,2,0,2,0,0,0,1,0,1,9,0,0,3,0,0,0
5,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,5,0,0,0
4,0,0,6,1,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0
4,0,0,6,0,0,2,2,1,0,5,0,0,0,0,0,2,1,0,0
2,0,0,3,3,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0
1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0
5,0,0,10,1,0,1,1,3,0,4,0,0,0,0,0,3,0,0,0
0,0,1,7,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
3,0,0,2,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0
1,0,0,13,2,0,2,0,0,0,1,0,1,5,0,0,5,2,0,0
1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,9,0,0,0
9,0,0,12,2,0,3,0,2,4,4,0,0,0,1,0,3,1,0,0
16,0,0,42,2,0,4,4,2,4,3,1,0,0,0,0,3,0,0,0
17,0,0,6,5,0,8,0,1,0,7,3,0,0,0,0,9,3,0,0
1,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,2,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
12,0,0,101,4,0,3,5,0,2,11,2,0,1,0,0,6,2,0,3
4,0,0,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,0,0
116,0,0,58,26,4,65,16,4,0,10,5,0,0,0,0,61,21,0,0
6,0,0,15,1,0,1,3,7,1,0,1,0,0,0,0,5,2,0,0
8,0,0,29,2,0,3,0,8,3,3,0,0,0,0,0,3,3,0,0
6,0,0,0,1,1,2,0,7,3,0,3,0,0,0,0,0,1,0,0
7,0,0,6,4,0,1,1,1,2,2,2,0,0,0,0,11,1,0,0
21,0,0,9,4,5,7,0,8,1,7,4,0,0,0,0,7,1,0,0
3,0,1,6,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0
8,1,0,0,4,0,5,0,10,1,3,1,0,0,0,0,6,1,0,0
11,0,0,6,0,0,3,2,0,0,3,1,0,18,0,0,2,0,0,0
9,0,0,11,4,0,0,0,5,1,1,1,0,0,1,0,3,0,0,0
3,0,0,15,2,0,1,1,0,1,2,0,0,1,0,1,1,0,0,0
5,0,0,249,2,0,61,0,7,1,2,0,0,0,0,0,1,0,2,0
3,0,0,2,1,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,7,1,0,1,1,4,1,2,0,0,0,0,0,3,0,2,0
6,0,0,0,2,1,5,2,4,2,1,0,0,0,0,0,4,1,0,0
5,0,0,9,0,0,7,1,0,1,2,3,0,0,0,0,2,1,0,0
1,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6,0,0,6,3,0,4,2,2,1,6,1,0,0,0,0,6,1,0,0
6,0,1,5,2,0,2,0,0,3,1,1,0,0,0,0,5,0,0,0
18,0,0,4,7,0,5,2,3,1,2,7,0,0,0,0,7,2,0,0
6,0,0,5,2,0,1,0,1,3,1,0,0,0,0,0,1,1,0,0
75,1,0,59,15,0,32,12,14,0,23,6,1,18,3,0,81,8,0,0
1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0
5,0,1,40,2,0,5,0,1,10,3,1,0,0,0,0,7,0,0,0
60,0,0,78,6,2,15,7,9,0,14,28,0,23,0,0,41,6,0,0
1,0,0,11,0,1,1,2,0,0,2,1,0,2,0,0,2,1,0,0
10,0,0,1,0,0,3,1,1,2,3,0,0,0,0,0,3,0,0,0
0,0,0,19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2,0,0,9,3,0,1,0,0,1,0,1,0,44,0,0,0,1,0,0
7,0,0,28,7,0,4,1,1,4,4,5,0,0,0,1,6,1,0,0
7,0,0,27,2,0,6,3,1,3,3,1,0,0,0,0,6,3,0,0
0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
21,0,0,6,6,0,4,3,5,1,5,2,0,0,0,0,4,1,0,0
10,0,1,1,2,1,2,1,4,1,1,0,0,0,0,0,4,1,0,0
18,0,0,2,2,0,3,1,4,3,2,1,0,0,1,0,12,0,0,0
0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
12,0,0,27,3,0,3,3,5,5,2,6,0,0,0,0,4,4,0,0
55,0,0,58,15,4,22,3,13,6,11,8,0,82,0,0,30,5,0,0
2,0,0,0,0,0,0,0,6,4,2,1,0,0,0,0,3,0,0,0
4,0,0,7,1,0,3,0,1,1,2,1,0,0,0,0,0,0,1,0
16,0,0,8,7,0,2,6,4,0,12,7,0,0,0,0,21,4,0,0
8,0,1,11,2,0,2,0,0,3,0,0,0,0,0,0,2,2,0,0
30,0,0,336,12,0,5,6,0,0,9,4,0,3,0,0,17,10,0,3
3,0,0,29,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0
56,0,0,87,18,0,35,9,12,0,16,10,0,0,2,0,32,4,0,0
2,0,0,11,1,0,0,1,0,3,0,0,0,0,1,0,4,2,0,0
1,0,0,4,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0
5,2,0,2,2,0,4,1,7,3,6,2,0,0,1,0,6,0,0,0
1,0,0,2,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0
6,0,0,3,3,0,2,0,5,3,0,1,0,0,0,0,4,1,0,0
10,0,0,2,1,0,1,2,1,3,1,1,0,0,0,0,0,2,0,0
2,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,0,0
2,0,1,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
5,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,2,0,0,0
4,0,0,6,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,5,2,1,1,0,3,1,0,2,0,0,1,0,10,1,0,0
9,0,0,8,3,0,2,1,2,2,5,3,0,0,0,0,11,0,0,0
4,0,1,7,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,2,1,0,0
3,0,0,2,1,0,0,0,0,0,1,2,0,7,0,0,3,0,0,0
46,0,0,4,7,2,7,1,2,2,1,3,0,0,0,0,14,0,0,0
0,0,0,2,1,1,1,3,7,1,1,0,1,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4,0,0,6,1,0,2,1,0,1,3,0,0,0,0,0,1,2,0,0
3,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0
13,0,0,10,4,0,3,3,0,2,5,2,0,0,0,0,4,0,0,0
0,0,1,10,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,17,0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
3,0,1,6,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
4,0,0,46,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,0
15,0,0,12,4,2,3,0,7,0,6,1,1,0,0,0,5,0,0,0
0,0,0,4,0,0,0,1,0,2,3,0,0,0,0,0,2,0,0,0
0,0,0,1,3,0,0,1,1,2,2,2,0,0,0,0,1,0,0,0
4,0,0,7,2,0,2,1,1,1,0,0,0,0,0,0,6,1,0,0
4,0,0,5,3,0,1,0,3,2,1,2,0,0,0,0,1,1,0,0
0,0,0,8,1,0,3,2,0,2,3,0,0,25,0,0,0,0,0,0
0,0,0,22,2,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0
3,0,0,6,1,0,1,0,5,2,0,3,0,0,0,0,5,2,1,0
5,0,0,1,2,0,1,0,3,2,1,1,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
35,0,1,7,9,4,10,2,34,1,6,9,0,0,3,0,17,4,0,0
13,0,0,3,1,1,4,0,2,1,0,1,0,0,0,0,2,0,0,0
4,0,0,5,2,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0
56,0,0,29,14,1,22,8,15,7,12,6,0,84,0,0,16,4,0,0
3,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,23,3,0,2,0,2,1,1,1,0,0,0,0,1,1,0,0
3,0,0,11,0,0,0,0,2,2,3,0,0,0,0,0,1,0,0,0
4,0,0,4,5,2,0,1,0,1,0,0,0,0,1,0,2,0,0,0
14,0,0,6,3,1,3,9,11,4,9,4,0,0,0,0,4,0,0,0
11,1,0,28,0,0,2,1,2,3,1,4,0,0,0,0,3,3,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,6,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0
3,0,0,3,0,0,1,1,1,1,2,1,0,0,0,0,4,0,0,0
1,0,1,12,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
11,0,0,4,2,0,6,1,2,1,2,2,0,0,0,0,6,0,0,0
4,0,1,6,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
10,0,0,3,2,0,5,4,19,2,3,2,0,0,0,0,13,1,3,0
45,2,0,20,15,0,17,10,7,0,12,17,1,0,0,0,37,13,0,0
14,0,1,8,1,0,2,1,3,4,1,1,0,0,0,0,2,0,0,0
0,0,0,5,2,0,1,2,0,2,2,3,0,0,0,0,0,1,0,0
2,0,0,6,1,0,2,3,0,0,1,1,2,1,0,0,9,1,0,0
2,0,0,11,0,1,1,0,1,3,0,0,0,0,0,0,3,1,0,0
5,0,0,2,3,2,6,1,1,4,1,1,0,0,0,0,7,0,0,0
11,0,0,10,3,0,0,0,0,0,3,0,0,9,0,0,2,1,0,0
5,0,0,13,0,0,2,2,0,0,0,0,0,0,0,0,6,0,0,0
0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4,0,0,13,3,0,5,6,0,0,6,7,0,25,0,0,8,4,0,0
5,0,0,5,3,0,2,0,3,4,2,2,0,0,0,0,4,2,0,0
10,0,0,4,3,0,1,0,2,0,1,0,0,0,0,0,5,0,0,0
0,0,1,12,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0
47,0,0,18,13,8,24,2,6,2,2,3,0,0,0,0,30,4,0,0
2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0
2,1,6,36,0,0,18,1,1,23,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
6,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,2,1,0,0
6,0,1,4,5,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0
18,0,0,5,8,0,6,0,3,0,1,8,0,0,0,0,10,4,0,0
2,0,0,14,4,0,3,2,0,6,4,3,0,0,0,0,0,3,0,0
7,0,0,8,1,0,2,1,7,1,2,1,0,0,1,0,3,1,1,0
9,0,0,8,4,0,3,1,1,3,0,0,0,0,0,0,4,3,0,0
0,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0
5,1,0,19,0,0,0,0,1,2,1,4,0,0,1,0,3,1,0,0
11,0,0,10,5,1,3,3,5,1,2,1,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,16,7,0,7,1,5,2,3,2,0,0,0,0,11,1,0,0
1,0,0,12,4,0,1,2,0,3,3,3,0,0,0,0,0,0,0,0
9,0,0,0,3,0,3,5,0,3,0,1,0,0,0,0,0,0,0,0
11,0,1,28,7,0,3,0,12,1,4,1,0,0,0,0,11,1,0,0
0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,3,0,0,0
8,0,0,9,1,0,3,0,1,0,0,0,0,0,0,0,1,3,0,0
0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
10,0,0,13,5,0,0,0,7,4,1,0,0,0,1,0,6,1,0,0
3,0,0,4,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0
5,0,0,34,1,0,1,2,2,2,0,1,0,0,1,0,3,0,0,0
5,1,0,6,1,1,0,1,6,1,1,1,0,0,0,0,4,2,0,0
3,0,0,5,3,0,3,0,2,2,3,0,0,0,0,0,1,1,0,0
0,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
16,0,0,3,5,0,2,5,2,2,2,1,0,0,0,0,14,0,0,0
27,0,0,11,2,0,11,2,8,1,1,1,0,0,0,0,9,0,0,0
18,0,0,3,3,0,5,0,4,0,1,2,0,0,0,0,3,0,0,0
1,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,6,0,0,0
9,0,0,689,2,1,3,2,0,1,2,0,0,7,0,0,6,1,0,0
7,1,0,22,0,0,2,2,11,3,3,3,0,0,1,0,7,1,5,0
2,1,0,3,2,0,1,1,3,1,1,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,0,0,24,7,0,1,0,2,1,5,0,0,0,0,0,3,2,0,0
11,0,0,5,0,1,7,1,3,3,6,2,0,0,0,0,3,0,0,0
6,0,0,8,2,0,1,0,15,3,1,0,0,0,0,0,4,1,0,0
0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
8,0,0,4,1,0,2,1,3,0,0,0,0,0,0,0,6,0,0,0
1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,4,0,0
27,0,0,37,3,0,8,2,0,2,2,2,0,0,0,0,8,1,0,0
1,0,0,8,2,0,1,1,0,0,2,1,0,3,0,0,2,0,0,0
3,0,1,6,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0
4,0,0,4,1,0,4,3,0,5,1,1,0,0,0,0,4,1,0,0
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
9,0,0,2,1,0,2,1,1,2,0,0,0,0,0,0,5,0,0,0
36,0,0,36,19,1,14,6,32,1,10,7,0,0,1,0,45,3,0,0
0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,3,1,1,3,0,0,0,2,4,0,2,0,0,0,0,0,0
6,0,0,4,2,0,1,2,1,3,2,1,0,0,0,0,2,0,0,0
39,1,0,28,12,0,5,7,15,9,8,3,0,0,0,0,15,6,0,0
42,2,0,17,10,0,15,7,8,0,6,3,0,0,0,0,14,4,0,0
33,0,1,13,5,1,11,2,0,1,3,4,0,0,0,0,12,7,0,0
2,0,0,5,2,0,0,3,0,0,1,0,0,1,0,0,4,0,0,0
0,0,0,17,3,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0
0,0,0,17,3,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,15,6,0,7,4,0,0,4,3,0,24,0,0,13,0,0,0
8,0,0,17,8,0,10,2,1,0,5,1,1,16,0,0,8,1,0,0
17,0,0,8,10,0,4,1,13,1,4,0,0,0,0,0,8,1,0,0
4,0,0,10,0,0,1,1,0,0,0,4,0,19,0,0,2,1,0,0
23,0,0,17,4,0,8,1,6,3,1,3,0,0,1,0,4,1,4,0
5,0,0,6,3,0,0,1,2,2,1,2,0,0,0,0,10,3,0,0
186,0,31,241,40,0,54,14,2,36,51,17,0,0,3,0,130,1,0,0
21,0,0,2,5,0,5,0,5,1,12,4,0,0,1,0,5,0,0,0
7,0,0,8,3,0,3,0,4,1,2,0,0,0,0,0,6,2,0,0
3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0
38,1,0,159,11,4,27,18,31,0,19,5,1,0,0,0,41,2,0,0
0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0
14,0,0,14,5,0,1,2,9,1,5,2,0,0,0,0,4,0,0,0
0,0,0,126,0,0,0,0,0,0,0,2,0,18,0,0,2,0,0,3
13,0,0,2,1,0,1,0,9,1,2,0,0,0,0,0,4,0,4,0
1,0,0,5,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0
8,0,0,0,3,0,1,2,8,2,2,2,0,0,1,0,5,2,0,0
30,0,1,23,4,0,12,1,1,3,4,3,0,0,0,0,8,3,0,0
5,1,0,6,2,1,0,0,5,2,1,2,0,0,0,0,2,3,0,0
31,0,0,5,8,0,14,2,1,4,2,2,0,0,0,0,5,2,0,0
9,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,4,0,0,0
2,0,0,5,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0
30,0,0,0,2,0,3,0,6,0,0,2,0,0,1,0,9,1,0,0
2,0,0,72,2,0,1,2,0,2,7,0,0,11,0,0,3,0,0,3
15,0,0,2,0,1,6,4,3,2,7,0,0,0,0,0,7,0,0,0
1,0,0,1,1,0,0,1,0,3,1,1,0,0,0,0,1,2,0,0
6,0,0,3,0,1,5,2,9,0,5,0,0,0,0,0,6,0,0,0
3,0,0,3,0,0,0,0,1,1,0,2,0,0,0,0,6,1,0,0
5,0,0,2,3,0,2,2,1,0,1,0,0,0,0,0,3,1,0,0
3,0,0,1,3,0,1,0,0,0,4,0,0,0,0,0,1,2,0,0
10,0,0,2,4,0,0,0,1,1,0,0,0,0,0,0,4,1,0,0
12,0,0,4,4,0,3,0,3,3,1,0,0,0,0,0,3,1,0,0
0,0,0,4,2,3,3,1,0,1,4,0,2,0,0,0,1,0,0,0
6,0,0,2,4,0,0,0,1,1,0,3,0,0,0,0,1,0,2,0
4,0,0,2,0,0,1,3,0,2,1,1,0,0,1,0,1,0,0,0
3,0,0,7,3,0,2,1,0,0,4,2,0,1,0,0,3,1,0,0
19,0,0,11,4,0,7,5,5,0,1,0,0,0,0,0,10,1,0,0
14,0,0,6,2,0,4,0,7,1,1,0,0,0,0,0,5,1,0,0
1,0,0,183,1,0,1,2,2,0,1,1,0,0,0,1,1,1,0,0
2,0,1,6,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0
7,0,0,5,2,0,3,1,0,3,1,1,0,0,0,0,5,0,0,0
6,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0
3,0,0,6,1,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
5,1,0,2,1,1,0,0,5,1,1,1,0,0,0,0,2,2,0,0
3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
10,0,0,3,1,0,1,2,1,4,1,1,0,0,0,0,0,2,0,0
22,0,0,116,7,1,9,4,2,0,11,7,0,33,0,0,11,4,0,0
116,0,0,193,44,0,37,12,44,0,38,5,1,0,3,0,39,5,0,0
32,0,0,15,7,0,12,7,7,0,19,1,0,0,0,0,13,3,0,0
11,0,0,5,1,0,5,2,3,0,0,0,0,0,0,1,3,1,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,12,1,0,1,0,3,4,0,4,0,0,0,0,4,0,0,0
121,0,0,190,47,0,40,14,56,0,47,4,0,0,3,1,41,5,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,4,0,3,0,1,2,0,0,0,0,5,2,0,0
3,1,0,2,0,0,2,0,1,2,2,1,0,0,0,0,2,0,0,0
4,0,0,0,1,0,1,2,0,3,1,2,0,0,0,0,0,0,0,0
7,0,1,6,1,0,1,0,0,1,2,0,0,0,0,0,2,0,0,0
2,0,0,13,2,0,1,0,5,2,0,1,0,0,1,1,1,1,0,0
22,0,1,27,9,0,1,3,0,21,3,3,0,0,0,0,4,1,0,0
0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
28,0,0,12,7,1,4,3,7,1,2,0,0,0,0,0,19,2,0,0
